Time,Time Code,Country Name,Country Code,CO2 emissions (kt) [EN.ATM.CO2E.KT],"Population, total [SP.POP.TOTL]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]"
1997,YR1997,Poland,POL,344630,38649660,13985.4335763903
1997,YR1997,Portugal,PRT,50930,10108977,27354.8368117354
1997,YR1997,Romania,ROU,113610,22553978,12116.237151844
1997,YR1997,San Marino,SMR,..,25596,66407.5139212185
1997,YR1997,Slovak Republic,SVK,42270,5383291,14870.2196437424
1997,YR1997,Slovenia,SVN,15730,1985956,23333.7196815717
1997,YR1997,Spain,ESP,248600,40057389,30644.3794443942
1997,YR1997,Sweden,SWE,57380,8846062,35764.6847640308
1997,YR1997,Switzerland,CHE,42750,7088906,55824.5124855607
1997,YR1997,United Kingdom,GBR,524190,58316954,35679.0192763027
1998,YR1998,Andorra,AND,490,65186,..
1998,YR1998,Austria,AUT,64670,7976789,43597.8900710725
1998,YR1998,Belgium,BEL,119410,10203008,40252.4689057051
1998,YR1998,Croatia,HRV,18530,4532135,17734.5050116504
1998,YR1998,Cyprus,CYP,6610,914660,30262.837890625
1998,YR1998,Czechia,CZE,118920,10294373,23597.3061804104
1998,YR1998,Denmark,DNK,59710,5304219,46096.3697234041
1998,YR1998,Estonia,EST,16240,1386156,16332.8199308887
1998,YR1998,Finland,FIN,57270,5153498,36293.3915600144
1998,YR1998,France,FRA,381110,60192790,37409.3954906364
1998,YR1998,Germany,DEU,865250,82047195,41022.6146311397
1998,YR1998,Greece,GRC,87130,10720509,27415.6259519279
1998,YR1998,Hungary,HUN,57350,10266570,17928.7345289766
1998,YR1998,Iceland,ISL,2150,274047,39017.4376817623
1998,YR1998,Ireland,IRL,38420,3712696,41107.2990688178
1998,YR1998,Italy,ITA,426370,56906744,40844.745605278
1998,YR1998,Liechtenstein,LIE,230,32190,..
1998,YR1998,Lithuania,LTU,14710,3549331,13317.9077290717
1998,YR1998,Luxembourg,LUX,7570,424700,88185.8001102476
1998,YR1998,Netherlands,NLD,166730,15707209,43933.5681069516
1998,YR1998,Norway,NOR,37890,4431464,54989.7027325446
1998,YR1998,Poland,POL,318410,38663481,14629.1983574495
1998,YR1998,Portugal,PRT,55600,10160196,28525.5174324377
1998,YR1998,Romania,ROU,99540,22507344,11894.8948267569
1998,YR1998,San Marino,SMR,..,25997,70264.447114394
1998,YR1998,Slovak Republic,SVK,41400,5390516,15455.6010850632
1998,YR1998,Slovenia,SVN,15500,1981629,24151.5389832882
1998,YR1998,Spain,ESP,256220,40223509,31858.4991101859
1998,YR1998,Sweden,SWE,58360,8850974,37286.0953943757
1998,YR1998,Switzerland,CHE,44250,7110001,57345.3311137561
1998,YR1998,United Kingdom,GBR,526000,58487141,36698.4110630247
1999,YR1999,Andorra,AND,510,65655,..
1999,YR1999,Austria,AUT,63050,7992324,45060.6187543953
1999,YR1999,Belgium,BEL,115510,10226419,41583.0973922951
1999,YR1999,Croatia,HRV,18520,4512597,17678.3897811663
1999,YR1999,Cyprus,CYP,6870,931600,31421.783203125
1999,YR1999,Czechia,CZE,111950,10283860,23948.3850340351
1999,YR1999,Denmark,DNK,56730,5321799,47298.5373518437
1999,YR1999,Estonia,EST,15290,1390244,16215.5789517586
1999,YR1999,Finland,FIN,56510,5165474,37795.0577604714
1999,YR1999,France,FRA,374900,60504420,38490.040182087
1999,YR1999,Germany,DEU,833590,82100243,41769.8120329084
1999,YR1999,Greece,GRC,87400,10761698,28149.843755764
1999,YR1999,Hungary,HUN,57910,10237530,18531.7496543312
1999,YR1999,Iceland,ISL,2120,277381,40103.865986755
1999,YR1999,Ireland,IRL,39970,3754786,44926.5289446156
1999,YR1999,Italy,ITA,433010,56916317,41501.788369041
1999,YR1999,Liechtenstein,LIE,230,32615,..
1999,YR1999,Lithuania,LTU,12250,3524238,13259.6169504528
1999,YR1999,Luxembourg,LUX,7920,430475,94115.3840349976
