Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]","GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",CO2 emissions (kt) [EN.ATM.CO2E.KT]
1996,YR1996,Iceland,ISL,268916,35014.1990887885,2270
1996,YR1996,Ireland,IRL,3637510,34745.803883287,34820
1996,YR1996,Italy,ITA,56860281,39429.4955552037,412150
1996,YR1996,Latvia,LVA,2457222,9959.12103256898,9010
1996,YR1996,Liechtenstein,LIE,31337,..,210
1996,YR1996,Lithuania,LTU,3601613,11274.6401082973,14230
1996,YR1996,Luxembourg,LUX,414225,80401.0320167454,8740
1996,YR1996,Monaco,MCO,31719,..,..
1996,YR1996,Netherlands,NLD,15530498,40691.8903167389,173620
1996,YR1996,Norway,NOR,4381336,51476.1992154047,34600
1996,YR1996,Poland,POL,38624370,13146.7560855391,355320
1996,YR1996,Portugal,PRT,10063945,26318.9751263398,48740
1996,YR1996,Romania,ROU,22619004,12697.0950214738,124210
1996,YR1996,San Marino,SMR,25235,..,..
1996,YR1996,Slovak Republic,SVK,5373361,14064.2739294874,42170
1996,YR1996,Slovenia,SVN,1988628,22182.2116895007,15290
1996,YR1996,Spain,ESP,39889852,29674.392750146,230110
1996,YR1996,Sweden,SWE,8840998,34719.1107469171,63650
1996,YR1996,Switzerland,CHE,7071850,54721.7149782014,44010
1996,YR1996,United Kingdom,GBR,58166950,34274.4103004204,545480
1997,YR1997,Andorra,AND,64682,..,470
1997,YR1997,Austria,AUT,7968041,42136.6622802741,64220
1997,YR1997,Belgium,BEL,10181245,39562.3729801955,116630
1997,YR1997,Croatia,HRV,4534920,17320.8777002177,17070
1997,YR1997,Czechia,CZE,10304131,23659.3207939067,124790
1997,YR1997,Denmark,DNK,5284991,45260.1371186812,63650
1997,YR1997,Estonia,EST,1399535,15503.8448315578,16770
1997,YR1997,Finland,FIN,5139835,34506.7718790729,60620
1997,YR1997,France,FRA,59969944,36247.6042941415,359070
1997,YR1997,Germany,DEU,82034771,40218.8468799392,872650
1997,YR1997,Greece,GRC,10661259,26534.4950478701,83760
1997,YR1997,Greenland,GRL,56000,..,..
1997,YR1997,Hungary,HUN,10290486,17215.6552344826,56990
1997,YR1997,Iceland,ISL,271128,36732.9319274562,2150
